FragmentID	DiscordantPairs	NumErrors	BasesInAlignment(TargetEnd-TargetStart)	ExperimentLabel
longread_118669	longread_118669_0.0.0-0.1.0	987	6646	test-experiment
longread_118669	longread_118669_0.0.1-0.1.1	987	6646	test-experiment
longread_118669	longread_118669_0.0.5-0.1.5	969	5776	test-experiment
longread_118669	longread_118669_0.0.2-0.1.2	962	5783	test-experiment
longread_118669	longread_118669_0.0.6-0.1.6	1019	5726	test-experiment
longread_118669	longread_118669_0.0.4-0.1.4	971	5789	test-experiment
longread_118669	longread_118669_0.0.3-0.1.3	967	5784	test-experiment
longread_118669	longread_118669_0.0.8-0.1.8	987	6646	test-experiment
longread_118669	longread_118669_0.0.7-0.1.7	987	6646	test-experiment
longread_118669	longread_118669_0.0.12-0.1.12	969	5776	test-experiment
longread_118669	longread_118669_0.0.9-0.1.9	962	5783	test-experiment
longread_118669	longread_118669_0.0.13-0.1.13	1019	5726	test-experiment
longread_118669	longread_118669_0.0.11-0.1.11	971	5789	test-experiment
longread_118669	longread_118669_0.0.10-0.1.10	967	5784	test-experiment
longread_118674	longread_118674_0.0.0-0.1.0	515	3422	test-experiment
longread_118674	longread_118674_0.0.1-0.1.1	569	3533	test-experiment
longread_118673	longread_118673_0.1.0-0.2.0,longread_118673_0.0.0-0.1.0	1240	6437	test-experiment
longread_118673	longread_118673_0.1.1-0.2.1,longread_118673_0.0.1-0.1.1	1237	6415	test-experiment
longread_118673	longread_118673_0.1.2-0.2.2,longread_118673_0.0.2-0.1.2	1461	6761	test-experiment
longread_118673	longread_118673_0.1.3-0.2.3,longread_118673_0.0.3-0.1.3	1243	6295	test-experiment
longread_118673	longread_118673_0.1.4-0.2.4,longread_118673_0.0.4-0.1.4	1246	6262	test-experiment
longread_118673	longread_118673_0.0.5-0.1.5	1252	6580	test-experiment
longread_118673	longread_118673_0.0.6-0.1.6	1114	5607	test-experiment
longread_118673	longread_118673_0.0.7-0.1.7	1111	5585	test-experiment
longread_118673	longread_118673_0.0.9-0.1.9	1117	5465	test-experiment
longread_118673	longread_118673_0.0.8-0.1.8	1335	5931	test-experiment
longread_118673	longread_118673_0.0.10-0.1.10	1120	5432	test-experiment
longread_118673	longread_118673_0.0.11-0.1.11	1192	6140	test-experiment
longread_118673	longread_118673_0.1.0-0.2.0	1192	6140	test-experiment
longread_118673	longread_118673_0.0.12-0.1.12	1189	6118	test-experiment
longread_118673	longread_118673_0.1.1-0.2.1	1189	6118	test-experiment
longread_118673	longread_118673_0.0.14-0.1.14	1195	5998	test-experiment
longread_118673	longread_118673_0.1.3-0.2.3	1195	5998	test-experiment
longread_118673	longread_118673_0.0.13-0.1.13	1413	6464	test-experiment
longread_118673	longread_118673_0.1.2-0.2.2	1413	6464	test-experiment
longread_118673	longread_118673_0.0.15-0.1.15	1198	5965	test-experiment
longread_118673	longread_118673_0.1.4-0.2.4	1198	5965	test-experiment
longread_118671	longread_118671_0.1.0-0.2.0,longread_118671_0.0.0-0.1.0	833	5062	test-experiment
longread_118671	longread_118671_0.1.1-0.2.1,longread_118671_0.0.1-0.1.1	821	5019	test-experiment
longread_118671	longread_118671_0.1.2-0.2.2,longread_118671_0.0.2-0.1.2	822	5014	test-experiment
longread_118671	longread_118671_0.1.3-0.2.3,longread_118671_0.0.3-0.1.3	823	5020	test-experiment
longread_118671	longread_118671_0.1.4-0.2.4,longread_118671_0.0.4-0.1.4	824	5021	test-experiment
longread_118671	longread_118671_0.1.5-0.2.5,longread_118671_0.0.5-0.1.5	824	4987	test-experiment
longread_118671	longread_118671_0.0.6-0.1.6	419	2897	test-experiment
longread_118671	longread_118671_0.0.7-0.1.7	701	4151	test-experiment
longread_118671	longread_118671_0.0.14-0.1.14	419	2897	test-experiment
longread_118671	longread_118671_0.1.10-0.2.10,longread_118671_0.0.10-0.1.10	822	5014	test-experiment
longread_118671	longread_118671_0.1.11-0.2.11,longread_118671_0.0.11-0.1.11	823	5020	test-experiment
longread_118671	longread_118671_0.1.12-0.2.12,longread_118671_0.0.12-0.1.12	824	5021	test-experiment
longread_118671	longread_118671_0.1.13-0.2.13,longread_118671_0.0.13-0.1.13	824	4987	test-experiment
longread_118671	longread_118671_0.1.8-0.2.8,longread_118671_0.0.8-0.1.8	833	5062	test-experiment
longread_118671	longread_118671_0.1.9-0.2.9,longread_118671_0.0.9-0.1.9	821	5019	test-experiment
longread_118671	longread_118671_0.0.19-0.1.19	692	4110	test-experiment
longread_118671	longread_118671_0.0.17-0.1.17	690	4103	test-experiment
longread_118671	longread_118671_0.0.15-0.1.15	701	4151	test-experiment
longread_118671	longread_118671_0.0.16-0.1.16	689	4108	test-experiment
longread_118671	longread_118671_0.0.18-0.1.18	691	4109	test-experiment
longread_118671	longread_118671_0.1.12-0.2.12	537	3035	test-experiment
longread_118671	longread_118671_0.1.4-0.2.4	537	3035	test-experiment
longread_118671	longread_118671_0.1.10-0.2.10	535	3028	test-experiment
longread_118671	longread_118671_0.1.2-0.2.2	535	3028	test-experiment
longread_118671	longread_118671_0.1.0-0.2.0	546	3076	test-experiment
longread_118671	longread_118671_0.1.8-0.2.8	546	3076	test-experiment
longread_118671	longread_118671_0.1.1-0.2.1	534	3033	test-experiment
longread_118671	longread_118671_0.1.9-0.2.9	534	3033	test-experiment
longread_118671	longread_118671_0.1.11-0.2.11	536	3034	test-experiment
longread_118671	longread_118671_0.1.3-0.2.3	536	3034	test-experiment
longread_118671	longread_118671_0.1.13-0.2.13	537	3001	test-experiment
longread_118671	longread_118671_0.1.5-0.2.5	537	3001	test-experiment
